root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
15:58:17.341919 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 116810597:116810809, ack 1610441780, win 501, options [nop,nop,TS val 834033321 ecr 2631073778], length 212
15:58:17.343703 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 212:320, ack 1, win 501, options [nop,nop,TS val 834033322 ecr 2631073778], length 108
15:58:17.343779 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 320:356, ack 1, win 501, options [nop,nop,TS val 834033323 ecr 2631073778], length 36
15:58:17.343820 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 356:408, ack 1, win 501, options [nop,nop,TS val 834033323 ecr 2631073778], length 52
15:58:17.343864 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 408:476, ack 1, win 501, options [nop,nop,TS val 834033323 ecr 2631073778], length 68
15:58:17.343904 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 476:544, ack 1, win 501, options [nop,nop,TS val 834033323 ecr 2631073778], length 68
15:58:17.343940 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 544:580, ack 1, win 501, options [nop,nop,TS val 834033323 ecr 2631073778], length 36
15:58:17.348011 IP 198.96.85.106.49154 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 212, win 6844, options [nop,nop,TS val 2631073790 ecr 834033321], length 0
15:58:17.349372 IP 198.96.85.106.49154 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 580, win 6841, options [nop,nop,TS val 2631073792 ecr 834033323], length 0
15:58:17.449714 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 580:824, ack 1, win 501, options [nop,nop,TS val 834033428 ecr 2631073792], length 244
15:58:17.449778 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 824:860, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 36
15:58:17.449845 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 860:1080, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 220
15:58:17.449875 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1080:1116, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 36
15:58:17.449914 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1116:1336, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 220
15:58:17.449967 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1336:1592, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 256
15:58:17.449995 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1592:1628, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 36
15:58:17.450033 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1628:1848, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 220
15:58:17.450061 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1848:1884, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 36
15:58:17.450116 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1884:2104, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 220
15:58:17.450144 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2104:2140, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 36
15:58:17.450181 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2140:2360, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 220
15:58:17.450208 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2360:2396, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 36
15:58:17.450245 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2396:2608, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 212
15:58:17.450272 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2608:2644, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 36
15:58:17.450309 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2644:2856, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 212
15:58:17.450336 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2856:2892, ack 1, win 501, options [nop,nop,TS val 834033429 ecr 2631073792], length 36
15:58:17.456920 IP 198.96.85.106.49154 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2892, win 6811, options [nop,nop,TS val 2631073900 ecr 834033429], length 0
15:58:17.544974 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2892:3112, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 220
15:58:17.545082 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3112:3148, ack 1, win 501, options [nop,nop,TS val 834033524 ecr 2631073900], length 36
