root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 src 159.203.26.59
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
16:01:40.761623 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 116876545:116876653, ack 1610442804, win 501, options [nop,nop,TS val 834236740 ecr 2631277195], length 108
16:01:40.761699 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 108:144, ack 1, win 501, options [nop,nop,TS val 834236740 ecr 2631277195], length 36
16:01:40.761750 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 144:196, ack 1, win 501, options [nop,nop,TS val 834236740 ecr 2631277195], length 52
16:01:40.761793 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 196:264, ack 1, win 501, options [nop,nop,TS val 834236741 ecr 2631277195], length 68
16:01:40.761850 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 264:332, ack 1, win 501, options [nop,nop,TS val 834236741 ecr 2631277195], length 68
16:01:40.761898 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 332:368, ack 1, win 501, options [nop,nop,TS val 834236741 ecr 2631277195], length 36
16:01:40.858038 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.33544 > 67.207.67.2.domain: 8841+ [1au] PTR? 106.85.96.198.in-addr.arpa. (55)
16:01:40.858155 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.39271 > 67.207.67.2.domain: 63746+ [1au] PTR? 106.85.96.198.in-addr.arpa. (55)
16:01:40.858233 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.39170 > 67.207.67.2.domain: Flags [S], seq 565952169, win 64240, options [mss 1460,sackOK,TS val 4279814314 ecr 0,nop,wscale 7,tfo  cookiereq,nop,nop], length 0
16:01:40.860725 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.33544 > 67.207.67.2.domain: 8841+ PTR? 106.85.96.198.in-addr.arpa. (44)
16:01:40.860842 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.39271 > 67.207.67.2.domain: 63746+ PTR? 106.85.96.198.in-addr.arpa. (44)
16:01:40.861020 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.39170 > 67.207.67.2.domain: Flags [.], ack 1995381051, win 502, options [nop,nop,TS val 4279814317 ecr 2969779680], length 0
16:01:40.861054 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.39170 > 67.207.67.2.domain: Flags [P.], seq 0:46, ack 1, win 502, options [nop,nop,TS val 4279814317 ecr 2969779680], length 46 1206+ PTR? 106.85.96.198.in-addr.arpa. (44)
16:01:40.862539 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.39170 > 67.207.67.2.domain: Flags [.], ack 112, win 502, options [nop,nop,TS val 4279814318 ecr 2969779682], length 0
16:01:40.864032 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.46156 > 67.207.67.2.domain: 8863+ [1au] PTR? 59.26.203.159.in-addr.arpa. (55)
16:01:40.865285 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.46156 > 67.207.67.2.domain: 8863+ PTR? 59.26.203.159.in-addr.arpa. (44)
16:01:40.867023 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 368:612, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 244
16:01:40.867120 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 612:648, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 36
16:01:40.867214 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 648:868, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 220
16:01:40.867292 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 868:904, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 36
16:01:40.867330 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 904:1124, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 220
16:01:40.867394 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1124:1160, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 36
16:01:40.867437 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1160:1380, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 220
16:01:40.867498 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1380:1416, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 36
16:01:40.867555 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1416:1636, ack 1, win 501, options [nop,nop,TS val 834236846 ecr 2631277225], length 220
16:01:40.867815 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1636:1672, ack 1, win 501, options [nop,nop,TS val 834236847 ecr 2631277225], length 36
16:01:40.868037 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1672:1892, ack 1, win 501, options [nop,nop,TS val 834236847 ecr 2631277225], length 220
16:01:40.868081 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1892:1928, ack 1, win 501, options [nop,nop,TS val 834236847 ecr 2631277225], length 36
16:01:40.961708 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.38474 > 67.207.67.2.domain: 19190+ [1au] PTR? 2.67.207.67.in-addr.arpa. (53)
16:01:40.961825 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.40777 > 67.207.67.2.domain: 7627+ [1au] PTR? 2.67.207.67.in-addr.arpa. (53)
16:01:40.961891 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.39170 > 67.207.67.2.domain: Flags [P.], seq 46:90, ack 112, win 502, options [nop,nop,TS val 4279814418 ecr 2969779682], length 44 7109+ PTR? 2.67.207.67.in-addr.arpa. (42)
16:01:40.963753 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.38474 > 67.207.67.2.domain: 19190+ PTR? 2.67.207.67.in-addr.arpa. (42)
16:01:40.963825 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.40777 > 67.207.67.2.domain: 7627+ PTR? 2.67.207.67.in-addr.arpa. (42)
16:01:40.979771 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.39170 > 67.207.67.2.domain: Flags [.], ack 223, win 502, options [nop,nop,TS val 4279814435 ecr 2969779799], length 0
16:01:40.980494 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 1928:2100, ack 1, win 501, options [nop,nop,TS val 834236959 ecr 2631277326], length 172
16:01:40.980585 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2100:2136, ack 1, win 501, options [nop,nop,TS val 834236959 ecr 2631277326], length 36
16:01:40.980697 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2136:2308, ack 1, win 501, options [nop,nop,TS val 834236959 ecr 2631277326], length 172
16:01:40.980796 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2308:2344, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.980857 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2344:2596, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 252
16:01:40.980894 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2596:2632, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.980957 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2632:2796, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 164
16:01:40.981038 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2796:2832, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.981075 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2832:2996, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 164
16:01:40.981155 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 2996:3032, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.981226 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3032:3252, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 220
16:01:40.981283 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3252:3288, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.981354 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3288:3556, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 268
16:01:40.981399 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3556:3592, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.981474 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3592:3804, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 212
16:01:40.981516 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3804:3840, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.981587 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3840:4012, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 172
16:01:40.981661 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4012:4048, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
