tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
15:53:07.035857 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 116547333:116547441, ack 1610439508, win 501, options [nop,nop,TS val 833723015 ecr 2630763461], length 108
15:53:07.035946 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 108:264, ack 1, win 501, options [nop,nop,TS val 833723015 ecr 2630763461], length 156
15:53:07.035986 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 264:332, ack 1, win 501, options [nop,nop,TS val 833723015 ecr 2630763461], length 68
15:53:07.036014 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 332:368, ack 1, win 501, options [nop,nop,TS val 833723015 ecr 2630763461], length 36
15:53:07.038564 IP 198.96.85.106.49154 > 159.203.26.59.22: Flags [.], ack 0, win 6846, options [nop,nop,TS val 2630763469 ecr 833723012], length 0
15:53:07.042168 IP 198.96.85.106.49154 > 159.203.26.59.22: Flags [.], ack 368, win 6841, options [nop,nop,TS val 2630763472 ecr 833723015], length 0
15:53:07.137243 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 368:588, ack 1, win 501, options [nop,nop,TS val 833723116 ecr 2630763472], length 220
15:53:07.137353 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 588:624, ack 1, win 501, options [nop,nop,TS val 833723116 ecr 2630763472], length 36
15:53:07.137436 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 624:820, ack 1, win 501, options [nop,nop,TS val 833723116 ecr 2630763472], length 196
15:53:07.137530 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 820:856, ack 1, win 501, options [nop,nop,TS val 833723116 ecr 2630763472], length 36
15:53:07.137610 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 856:1052, ack 1, win 501, options [nop,nop,TS val 833723116 ecr 2630763472], length 196
15:53:07.137652 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 1052:1088, ack 1, win 501, options [nop,nop,TS val 833723116 ecr 2630763472], length 36
15:53:07.137711 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 1088:1284, ack 1, win 501, options [nop,nop,TS val 833723116 ecr 2630763472], length 196
15:53:07.137753 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 1284:1320, ack 1, win 501, options [nop,nop,TS val 833723116 ecr 2630763472], length 36
15:53:07.137820 IP 159.203.26.59.22 > 198.96.85.106.49154: Flags [P.], seq 1320:1500, ack 1, win 501, options [nop,nop,TS val 833723117 ecr 2630763472], length 180
